,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
0,0,0,1327.0,1442.0000000000002,0
1,1,1,1552.0,1250.0000000000002,40
2,2,2,766.0000000000003,899.0000000000005,40
3,3,3,733.0000000000003,923.0000000000005,40
4,4,4,658.0000000000002,914.0000000000005,40
5,5,5,862.0,1640.0000000000002,40
6,6,6,904.0,1628.0000000000002,40
7,7,7,931.0,1700.0000000000002,40
8,8,8,619.0000000000002,968.0000000000005,40
9,9,9,700.0000000000003,866.0000000000005,40
10,10,10,886.0,1559.0000000000002,40
11,11,11,982.0,1655.0000000000002,40
12,12,12,928.0,1784.0000000000002,40
13,13,13,1588.0,1277.0000000000002,40
14,14,14,1648.0,1310.0000000000002,40
15,15,15,772.0000000000003,944.0000000000005,40
16,16,16,538.0000000000001,959.0000000000005,40
17,17,17,529.0000000000001,1049.0000000000002,40
18,18,18,592.0000000000002,1016.0000000000005,40
19,19,19,697.0000000000003,953.0000000000005,40
20,20,20,844.0,1583.0000000000002,40
21,21,21,940.0,1574.0000000000002,40
22,22,22,874.0,1784.0000000000002,40
23,23,23,871.0,1832.0,40
24,24,24,1459.0,1271.0000000000002,40
25,25,25,1513.0,1202.0000000000002,40
26,26,26,1618.0,1148.0000000000002,40
27,27,27,1639.0,1223.0000000000002,40
28,28,28,670.0000000000002,890.0000000000005,80
29,29,29,622.0000000000002,1073.0000000000002,80
30,30,30,538.0000000000001,1118.0000000000002,80
31,31,31,559.0000000000001,1064.0000000000002,80
32,32,32,496.00000000000017,1019.0000000000005,80
33,33,33,622.0000000000002,890.0000000000005,80
34,34,34,733.0000000000003,1001.0000000000005,80
35,35,35,868.0,1685.0000000000002,80
36,36,36,976.0,1760.0000000000002,80
37,37,37,1018.0,1664.0000000000002,80
38,38,38,1036.0,1610.0000000000002,80
39,39,39,784.0000000000003,1583.0000000000002,80
40,40,40,718.0000000000003,1577.0000000000002,80
41,41,41,1516.0,1274.0000000000002,80
42,42,42,1564.0,1310.0000000000002,80
43,43,43,1489.0,1106.0000000000002,80
44,44,44,1618.0,1085.0000000000002,80
45,45,45,448.00000000000017,1076.0000000000002,80
46,46,46,667.0000000000002,1043.0000000000002,80
47,47,47,634.0000000000002,1115.0000000000002,80
48,48,48,790.0000000000003,1022.0000000000005,80
49,49,49,811.0000000000003,1955.0,80
50,50,50,1015.0,1967.0,80
51,51,51,1555.0,1052.0000000000002,80
52,52,52,1387.0,1007.0000000000005,80
53,53,53,574.0000000000002,893.0000000000005,80
54,54,54,583.0000000000002,1070.0000000000002,80
55,55,55,718.0000000000003,1544.0000000000002,80
56,56,56,1627.0,956.0000000000005,80
57,57,57,1672.0,1256.0000000000002,80
58,58,58,463.00000000000017,1205.0000000000002,80
59,59,59,451.00000000000017,1271.0000000000002,80
60,60,60,907.0,1844.0,80
61,61,61,1513.0,1064.0000000000002,80
62,62,62,1495.0,1010.0000000000005,80
63,63,63,1549.0,935.0000000000005,80
64,64,64,556.0000000000001,839.0000000000005,120
65,65,65,820.0000000000003,1901.0,120
66,66,66,829.0,1943.0,120
67,67,67,829.0,1976.0,120
68,68,68,1615.0,1355.0000000000002,120
69,69,69,1651.0,1352.0000000000002,120
70,70,70,1732.0,1274.0000000000002,120
71,71,71,436.00000000000017,1163.0000000000002,120
72,72,72,406.00000000000017,1076.0000000000002,120
73,73,73,850.0,1739.0000000000002,120
74,74,74,331.00000000000017,1259.0000000000002,120
75,75,75,340.00000000000017,1220.0000000000002,120
76,76,76,385.00000000000017,1187.0000000000005,120
77,77,77,502.00000000000017,1217.0000000000002,120
78,78,78,547.0000000000001,1193.0000000000002,120
79,79,79,595.0000000000002,1145.0000000000002,120
80,80,80,514.0000000000001,860.0000000000005,120
81,81,81,631.0000000000002,845.0000000000005,120
82,82,82,958.0,1901.0,120
83,83,83,1012.0,1907.0,120
84,84,84,1066.0,1913.0,120
85,85,85,1054.0,1589.0,120
86,86,86,1615.0,1193.0000000000002,120
87,87,87,1291.0,1391.0000000000002,120
88,88,88,385.00000000000017,1238.0000000000002,120
89,89,89,505.00000000000017,1148.0000000000002,120
90,90,90,787.0000000000003,1997.0,120
91,91,91,922.0,1886.0,160
92,92,92,1576.0,1373.0000000000002,160
93,93,93,1549.0,1346.0000000000002,160
94,94,94,829.0,1532.0000000000002,160
95,95,95,742.0000000000003,1523.000000000001,160
96,96,96,1378.0,1046.0000000000002,160
97,97,97,679.0000000000002,845.0000000000005,160
98,98,98,832.0,971.0000000000005,160
99,99,99,814.0000000000003,1688.0000000000002,160
100,100,100,664.0000000000002,1094.0000000000002,160
101,101,101,1765.0,1277.0000000000002,200
102,102,102,1792.0,1385.0000000000002,200
103,103,103,1525.0,1382.0000000000002,200
104,104,104,859.0,1961.0,200
105,105,105,901.0,1943.0,200
106,106,106,928.0,1979.0,200
107,107,107,874.0,2027.0,200
108,108,108,1825.0,1391.0000000000002,200
109,109,109,1093.0,1835.0,220
