,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
0,0,0,668.1499282639885,347.4153515064562,0
1,1,1,700.9763271162124,277.28622668579624,30
2,2,2,724.8500717360114,456.3393113342897,30
3,3,3,794.9791965566715,269.82568149210897,30
4,4,4,805.4239598278335,320.5573888091822,30
5,5,5,845.7109038737443,286.23888091822096,30
6,6,6,905.3952654232424,236.9992826398852,30
7,7,7,577.1312769010043,599.5817790530847,60
8,8,8,614.4340028694404,663.7424677187947,60
9,9,9,457.7625538020086,671.203012912482,60
10,10,10,618.9103299856528,369.7969870875178,60
11,11,11,736.7869440459109,157.91750358680062,60
12,12,12,609.957675753228,296.6836441893832,60
13,13,13,699.4842180774748,402.6233859397416,60
14,14,14,668.1499282639885,516.0236728837876,60
15,15,15,803.9318507890962,571.2317073170732,60
16,16,16,365.2517934002869,762.2216642754663,90
17,17,17,614.4340028694404,732.3794835007174,90
18,18,18,484.6205164992825,705.5215208034433,90
19,19,19,608.4655667144907,463.799856527977,90
20,20,20,854.6635581061693,590.6291248206599,90
21,21,21,139.94332855093262,390.6865136298421,90
22,22,22,80.25896700143474,425.0050215208034,90
23,23,23,132.48278335724535,484.6893830703012,90
24,24,24,51.90889526542328,519.0078909612623,90
25,25,25,31.01936872309905,575.7080344332853,90
26,26,26,171.27761836441897,899.4956958393111,90
27,27,27,429.4124820659972,589.1370157819224,90
28,28,28,521.9232424677189,592.1212338593973,90
29,29,29,612.941893830703,539.8974175035867,90
30,30,30,791.9949784791968,132.55164992826394,90
31,31,31,823.3292682926829,656.2819225251075,90
32,32,32,921.8084648493544,684.631994261119,90
33,33,33,794.9791965566715,781.6190817790531,90
34,34,34,10.1298421807748,304.1441893830703,120
35,35,35,187.69081779053084,416.05236728837866,120
36,36,36,96.67216642754668,1018.8644189383068,120
37,37,37,292.13845050215207,659.2661406025824,120
38,38,38,374.2044476327117,680.1556671449066,120
39,39,39,396.58608321377335,769.6822094691532,120
40,40,40,539.8285509325682,521.9921090387373,120
41,41,41,651.7367288378766,763.7137733142036,120
42,42,42,738.2790530846485,641.360832137733,120
43,43,43,645.7682926829267,417.5444763271162,120
44,44,44,81.75107604017221,601.073888091822,120
45,45,45,90.70373027259691,645.8371592539454,120
46,46,46,253.34361549497848,863.6850789096125,120
47,47,47,320.4885222381636,817.4296987087516,120
48,48,48,362.267575322812,814.4454806312767,120
49,49,49,448.8098995695839,757.7453371592537,120
50,50,50,424.9361549497848,702.5373027259683,120
51,51,51,809.9002869440459,783.1111908177904,120
52,52,52,177.2460545193687,635.3923959827832,150
53,53,53,11.621951219512251,347.4153515064562,150
54,54,54,310.0437589670014,599.5817790530847,150
55,55,55,374.2044476327117,150.45695839311338,150
56,56,56,380.17288378766136,87.7883787661407,150
57,57,57,509.9863701578192,417.5444763271162,150
58,58,58,444.3335724533716,460.8156384505021,150
59,59,59,439.8572453371593,501.1025824964131,150
60,60,60,514.4626972740316,472.75251076040166,150
61,61,61,565.1944045911048,953.2116212338592,150
62,62,62,753.2001434720229,874.1298421807747,150
63,63,63,660.6893830703012,59.43830703012917,150
64,64,64,853.1714490674318,704.0294117647059,150
65,65,65,903.903156384505,756.2532281205164,150
66,66,66,304.07532281205164,269.82568149210897,150
67,67,67,347.3464849354376,208.6492109038737,150
68,68,68,275.7252510760402,92.26470588235291,150
69,69,69,227.97776183644197,78.83572453371595,150
70,70,70,563.7022955523672,32.58034433285513,150
71,71,71,515.954806312769,341.4469153515065,150
72,72,72,920.3163558106172,298.17575322812047,150
73,73,73,148.89598278335728,323.54160688665706,180
74,74,74,238.4225251076041,951.7195121951218,180
75,75,75,313.0279770444764,883.0824964131994,180
76,76,76,223.5014347202296,815.9375896700142,180
77,77,77,180.2302725968436,774.1585365853657,180
78,78,78,224.993543758967,729.3952654232422,180
79,79,79,236.93041606886655,532.4368723098995,180
80,80,80,245.88307030129124,489.1657101865136,180
81,81,81,360.7754662840746,563.7711621233858,180
82,82,82,402.5545193687232,545.8658536585365,180
83,83,83,360.7754662840746,501.1025824964131,180
84,84,84,402.5545193687232,439.9261119081778,180
85,85,85,396.58608321377335,383.22596843615503,180
86,86,86,454.7783357245337,348.9074605451937,180
87,87,87,475.6678622668579,289.2230989956958,180
88,88,88,593.5444763271163,114.64634146341471,180
89,89,89,565.1944045911048,90.77259684361547,180
90,90,90,501.0337159253945,78.83572453371595,180
91,91,91,432.396700143472,22.135581061693077,180
92,92,92,891.9662840746054,738.3479196556669,180
93,93,93,947.1743185078908,735.3637015781921,180
94,94,94,175.75394548063124,63.91463414634154,180
95,95,95,298.1068866571019,963.6563845050214,180
96,96,96,329.4411764705883,923.3694404591104,180
97,97,97,266.7725968436156,826.3823529411764,180
98,98,98,271.24892395982783,333.98637015781924,180
99,99,99,369.7281205164993,265.3493543758966,180
100,100,100,411.50717360114777,317.57317073170725,180
101,101,101,517.4469153515064,159.4096126255381,180
102,102,102,575.6391678622667,195.2202295552368,180
103,103,103,665.1657101865136,184.77546628407453,180
104,104,104,774.0896700143472,159.4096126255381,180
105,105,105,748.7238163558105,102.70946915351507,180
106,106,106,733.8027259684361,83.3120516499283,180
107,107,107,774.0896700143472,54.961979913916814,180
108,108,108,726.3421807747487,22.135581061693077,180
109,109,109,832.2819225251076,80.3278335724534,180
110,110,110,883.0136298421806,93.75681492109037,180
111,111,111,826.3134863701579,178.80703012912477,180
112,112,112,186.19870875179345,553.3263988522236,210
113,113,113,50.41678622668586,977.0853658536583,210
114,114,114,122.03802008608324,1003.9433285509324,210
